run_id,exit_code,elapsed_ms,robot_msgs,robot_ok,robot_nok,robot_latency_ms_p50,robot_latency_ms_p95,capture_total,capture_dropped,capture_drop_rate,capture_latency_avg_ms_mean,timeouts_detected,worker_restarts,python_restarts,geometry_restarts,all_restarts
1,0,17535.17,3,1,2,1.0,19.0,6,0,0.0,9.024,0,2,0,0,2
2,0,15697.93,3,1,2,3.0,12.9,6,0,0.0,10.77,0,2,0,0,2
3,0,16099.94,3,1,2,1.0,12.7,6,0,0.0,9.444,0,2,0,0,2
4,0,15419.02,3,1,2,1.0,8.2,6,0,0.0,10.596,0,2,0,0,2
5,0,16300.69,3,1,2,1.0,13.6,6,0,0.0,9.093,0,2,0,0,2
6,0,17906.67,3,1,2,2.0,12.8,6,0,0.0,8.589,0,2,0,0,2
7,0,17003.43,3,1,2,1.0,9.1,6,0,0.0,11.491,0,2,0,0,2
8,0,17626.57,3,1,2,1.0,55.0,6,0,0.0,10.276,0,2,0,0,2
9,0,18245.55,3,1,2,8.0,12.5,6,0,0.0,10.601,0,2,0,0,2
10,0,18208.49,3,1,2,1.0,9.1,6,0,0.0,13.068,0,2,0,0,2
11,0,22090.22,5,1,4,2.0,16.6,10,0,0.0,10.819,0,0,0,0,0
12,0,16322.93,3,1,2,7.0,19.6,6,0,0.0,7.733,0,2,0,0,2
13,0,19351.26,3,1,2,1.0,23.5,6,0,0.0,10.322,0,2,0,0,2
14,0,16298.98,3,1,2,1.0,12.7,6,0,0.0,14.799,0,2,0,0,2
15,0,16867.45,3,1,2,1.0,8.2,6,0,0.0,11.943,0,2,0,0,2
16,0,15577.07,3,1,2,4.0,7.6,6,0,0.0,11.642,0,2,0,0,2
17,0,15326.35,3,1,2,1.0,7.3,6,0,0.0,11.015,0,2,0,0,2
18,0,15664.74,3,1,2,3.0,11.1,6,0,0.0,13.956,0,2,0,0,2
19,0,15317.18,3,1,2,1.0,6.4,6,0,0.0,14.719,0,2,0,0,2
20,0,15590.88,3,1,2,1.0,7.3,6,0,0.0,14.748,0,2,0,0,2
